state,2019,2020,change
Alabama,3,5.9,2.9
Alaska,5.4,7.8,2.4
Arizona,4.9,7.9,3
Arkansas,3.5,6.1,2.6
California,4.2,10.1,5.9
Colorado,2.7,7.3,4.6
Connecticut,3.6,7.9,4.3
Delaware,3.7,7.8,4.1
District of Columbia,5.4,8,2.6
Florida,3.3,7.7,4.4
Georgia,3.5,6.5,3
Hawaii,2.5,11.6,9.1
Idaho,2.8,5.4,2.6
Illinois,4,9.5,5.5
Indiana,3.2,7.1,3.9
lowa,2.8,5.3,2.5
Kansas,3.2,5.9,2.7
Kentucky,4.1,6.6,2.5
Louisiana,4.7,8.3,3.6
Maine,2.7,5.4,2.7
Maryland,3.5,6.8,3.3
Massachusetts,3,8.9,5.9
Michigan,4.1,9.9,5.8
Minnesota,3.2,6.2,3
Mississippi,5.5,8.1,2.6
Missouri,3.3,6.1,2.8
Montana,3.6,5.9,2.3
Nebraska,3,4.2,1.2
Nevada,3.9,12.8,8.9
New Hampshire,2.6,6.7,4.1
New Jersey,3.4,9.8,6.4
New Mexico,5,8.4,3.4
New York,3.8,10,6.2
North Carolina,3.8,7.3,3.5
North Dakota,2.3,5.1,2.8
Ohio,4.2,8.1,3.9
Oklahoma,3.1,6.1,3
Oregon,3.7,7.6,3.9
Pennsylvania,4.5,9.1,4.6
Rhode Island,3.6,9.4,5.8
South Carolina,2.8,6.2,3.4
South Dakota,3,4.6,1.6
Tennessee,3.4,7.5,4.1
Texas,3.5,7.6,4.1
Utah,2.5,4.7,2.2
Vermont,2.3,5.6,3.3
Virginia,2.7,6.2,3.5
Washington,4.1,8.4,4.3
West Virginia,4.9,8.3,3.4
Wisconsin,3.3,6.3,3
Wyoming,3.7,5.8,2.1
